Epoch,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,0.9871522188186646,0.04209166392683983,0.9991687536239624,0.0022363290190696716
2,0.9982438087463379,0.00665321433916688,1.0,0.0003094008716288954
3,0.9994454383850098,0.002808700082823634,1.0,0.0001359574234811589
4,0.9993529915809631,0.0025617796927690506,1.0,0.00010554723849054426
5,0.9989832639694214,0.0036850646138191223,1.0,4.9832946388050914e-05
6,0.9994454383850098,0.0020982534624636173,1.0,0.00029867092962376773
7,0.9997227191925049,0.001674794708378613,1.0,6.640052743023261e-05
8,0.9996302723884583,0.0013812966644763947,1.0,5.8535013522487134e-05
9,0.9998151659965515,0.0010090250289067626,1.0,5.928381870035082e-05
10,0.9998151659965515,0.0006027648923918605,1.0,2.0458684957702644e-05
11,0.9996302723884583,0.0009304488776251674,1.0,2.4074588509392925e-05
12,0.9993529915809631,0.001556284842081368,1.0,7.879448821768165e-05
13,0.9995378255844116,0.002457166090607643,1.0,0.0002362179075134918
14,0.9995378255844116,0.0015664249658584595,1.0,2.134238093276508e-05
15,0.9999075531959534,0.00047407631063833833,1.0,2.004763882723637e-05
16,1.0,0.00016883852367755026,1.0,1.009674360830104e-05
17,1.0,0.0001887069083750248,1.0,6.411613867385313e-06
18,0.9998151659965515,0.0006615031161345541,1.0,7.326086233661044e-06
19,0.9993529915809631,0.0015128125669434667,1.0,1.2993067684874404e-05
20,0.9997227191925049,0.0006553654675371945,1.0,1.1140799870190676e-05
