Epoch,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,0.5013372302055359,0.7503330111503601,0.4898395836353302,0.7255494594573975
2,0.5548275113105774,0.6916544437408447,0.48288771510124207,0.72648024559021
3,0.5632522106170654,0.6831619739532471,0.4839572310447693,0.741026759147644
4,0.5807702541351318,0.6714925169944763,0.4786096215248108,0.7381301522254944
5,0.589596152305603,0.6661690473556519,0.4754010736942291,0.7419392466545105
6,0.5953463315963745,0.6614781022071838,0.4946524202823639,0.7349126935005188
7,0.603102445602417,0.6588431596755981,0.4850267469882965,0.7453891634941101
8,0.6052420139312744,0.6547155976295471,0.4882352948188782,0.7396382689476013
9,0.6171436309814453,0.645480215549469,0.4791443943977356,0.754633903503418
10,0.6238299012184143,0.6380065679550171,0.4737967848777771,0.7603136897087097
11,0.6386734247207642,0.63148033618927,0.4909090995788574,0.7608298063278198
12,0.6500400900840759,0.6200493574142456,0.4834224581718445,0.7810472249984741
13,0.6416153907775879,0.6196774244308472,0.4855614900588989,0.7790419459342957
14,0.6631452441215515,0.6093677282333374,0.46684491634368896,0.8175380229949951
15,0.6636801362037659,0.6053951978683472,0.4941176474094391,0.7860509157180786
16,0.6729071736335754,0.5928090214729309,0.47754010558128357,0.8300308585166931
17,0.6731746196746826,0.5956348776817322,0.4802139103412628,0.8302201628684998
18,0.6802620887756348,0.5786318778991699,0.4898395836353302,0.8283363580703735
19,0.6880182027816772,0.574212372303009,0.4941176474094391,0.8304542303085327
20,0.7008558511734009,0.5658478140830994,0.49251335859298706,0.8512437343597412
